                      Inf	   1.9001833086361914e+00	   1.2690470316319291e+00	   1.5117959347340097e+00	   1.0592830578346955e+00	   7.7767443786407653e-01	   7.2171427694535009e-02	  -3.4861620061593707e-01	   9.9525234326838508e-01	   1.2545928588660774e-01	   6.0454555455133607e-01	   1.0864940353480188e+00	   7.6735350137177460e-01	   7.4751167908610416e-01	   9.3165028513710424e-01	   1.4270535926247503e+00	   1.2355467018002493e+00	   1.2367602893410861e+00	   9.9985803658521755e-01	   1.0398116139743274e+00	
   1.9001833086361914e+00	                      Inf	   1.9381831522716129e+00	   2.4151819227053486e+00	   1.3927057707390231e+00	   1.1694990919134924e+00	   2.8613393672897003e-01	  -8.3899974240703418e-02	   1.5177514073687899e+00	   4.3280790798527263e-01	   9.5319452361743173e-01	   1.5884940517622270e+00	   1.1857994657520221e+00	   1.1132950175695542e+00	   1.4401851285483427e+00	   2.2418373846361135e+00	   1.4088642568429697e+00	   1.0357593874838957e+00	   1.3137717116480676e+00	   1.1769774519947278e+00	
   1.2690470316319291e+00	   1.9381831522716129e+00	                      Inf	   2.6606881027143179e+00	   1.2869240557541031e+00	   1.6721280731586916e+00	   5.3807422826349860e-01	   1.6218969791605137e-01	   2.4767156445053571e+00	   6.9402805365402587e-01	   1.3804635457331929e+00	   1.7889014834159767e+00	   1.6955971421354714e+00	   1.5758344112716680e+00	   1.9641905375470952e+00	   1.9379879046010675e+00	   1.1632058653797781e+00	   7.2954635198348217e-01	   1.3306565530027021e+00	   9.9697894476579263e-01	
   1.5117959347340097e+00	   2.4151819227053486e+00	   2.6606881027143179e+00	                      Inf	   1.4040623954535623e+00	   1.5008282952071479e+00	   4.6909633525946126e-01	   7.5784307216584315e-02	   1.9426580150438180e+00	   5.7009530825464394e-01	   1.2067552715641372e+00	   1.6861222637627791e+00	   1.4964012095231156e+00	   1.4318465729205896e+00	   1.7186781617994278e+00	   2.1144040095129193e+00	   1.1936512727854753e+00	   8.0445425950928717e-01	   1.2514859406709529e+00	   9.9110117435342671e-01	
   1.0592830578346955e+00	   1.3927057707390231e+00	   1.2869240557541031e+00	   1.4040623954535623e+00	                      Inf	   1.2604484163930214e+00	   4.7341249543084774e-01	   1.7000646549462653e-01	   1.2067509635801115e+00	   5.9411467544268115e-01	   9.7698349294110720e-01	   1.1530858846347896e+00	   1.2302621236113882e+00	   1.1639287219480545e+00	   1.2618379905906045e+00	   1.3705918911295869e+00	   8.0648327844510870e-01	   5.6662990609537944e-01	   8.5332573278282453e-01	   7.8714515582286670e-01	
   7.7767443786407653e-01	   1.1694990919134924e+00	   1.6721280731586916e+00	   1.5008282952071479e+00	   1.2604484163930214e+00	                      Inf	   9.9735783755055785e-01	   5.3815856425230779e-01	   2.0038129755487595e+00	   1.0509037524211899e+00	   2.1899870760399232e+00	   1.3692333298907997e+00	   2.9036655338240642e+00	   3.1514910162244041e+00	   1.8883397790641387e+00	   1.2864896170635167e+00	   7.0791047521368899e-01	   3.3374695592077214e-01	   9.3219901085099699e-01	   6.0750825465833191e-01	
   7.2171427694535009e-02	   2.8613393672897003e-01	   5.3807422826349860e-01	   4.6909633525946126e-01	   4.7341249543084774e-01	   9.9735783755055785e-01	                      Inf	   1.4053016056942018e+00	   6.7429628382771511e-01	   1.0041473687853864e+00	   1.0796369256852187e+00	   4.4151411510534599e-01	   9.2708182416925822e-01	   1.0564989114131171e+00	   6.5560292225139749e-01	   3.5150876517080692e-01	  -1.6960122052854971e-02	  -3.6795558877771301e-01	   1.9616613445219469e-01	  -1.0067844654044811e-01	
  -3.4861620061593707e-01	  -8.3899974240703418e-02	   1.6218969791605137e-01	   7.5784307216584315e-02	   1.7000646549462653e-01	   5.3815856425230779e-01	   1.4053016056942018e+00	                      Inf	   3.1229646579404491e-01	   1.0686677858541374e+00	   6.6076963168749547e-01	   1.5192432028861963e-01	   5.2520391812245015e-01	   5.6313534362198314e-01	   3.3560414479552397e-01	   2.4506046313239514e-02	  -2.6930283376433095e-01	  -7.0336241667497112e-01	  -1.5035752939157909e-02	  -2.8205124015188543e-01	
   9.9525234326838508e-01	   1.5177514073687899e+00	   2.4767156445053571e+00	   1.9426580150438180e+00	   1.2067509635801115e+00	   2.0038129755487595e+00	   6.7429628382771511e-01	   3.1229646579404491e-01	                      Inf	   9.0954638511727504e-01	   1.7156305277833470e+00	   1.7898343973615740e+00	   2.1626655939562611e+00	   1.8727709292333632e+00	   2.3935567303039842e+00	   1.6950681362189177e+00	   1.0510919092196902e+00	   5.8743081805355613e-01	   1.2946090177458007e+00	   9.0118579790687459e-01	
   1.2545928588660774e-01	   4.3280790798527263e-01	   6.9402805365402587e-01	   5.7009530825464394e-01	   5.9411467544268115e-01	   1.0509037524211899e+00	   1.0041473687853864e+00	   1.0686677858541374e+00	   9.0954638511727504e-01	                      Inf	   1.2953670984163421e+00	   7.8518991930043314e-01	   1.1440887890238496e+00	   1.0482393730117503e+00	   1.0036936331229458e+00	   6.0491842605391710e-01	   3.7846698401245255e-01	  -1.7097700139213325e-02	   6.4435244504018441e-01	   3.7355876906587215e-01	
