KIAA0513, 6478, 19.542934
ACOT4, 134, 19.375140
TAGLN3, 13116, 19.239231
SEPT8, 11799, 18.679914
DMTN, 3461, 18.394470
NICN1, 8757, 18.223160
RAP1GAP2, 10823, 18.178812
OLFM1, 9150, 17.982056
DAGLB, 3150, 17.964395
R3HDM1, 10686, 17.606994
ABCC8, 48, 17.496306
VIPR1, 14589, 17.471995
LINC01106, 6997, 17.440483
PACSIN1, 9337, 17.420091
UNC5A, 14418, 17.382856
TMEM268, 13678, 17.369617
ADCK5, 242, 17.285921
ARPP21, 868, 17.269931
LMTK2, 7097, 17.187224
CHRD, 2437, 17.161837
KCNMA1, 6395, 17.160699
DLGAP1-AS4, 3436, 17.149447
NMT1, 8836, 17.140380
MICAL2, 7950, 17.124649
IPO5, 6144, 17.020282
EFHD2, 3784, 17.020236
SLITRK4, 12323, 16.998376
FAM153A, 4254, 16.998297
KCNIP3, 6371, 16.929308
LOC100996385, 7167, 16.895141
PI4KAP2, 9773, 16.894046
DENND3, 3308, 16.885847
CHN1, 2427, 16.878675
RBFOX3, 10895, 16.865167
PKNOX2, 9877, 16.836147
JOSD1, 6287, 16.779919
EXT1, 4155, 16.752257
DNM1P50, 3535, 16.698640
FHL2, 4577, 16.670498
PIP5K1C, 9844, 16.507989
ARHGAP32, 765, 16.462736
CAMK2A, 1770, 16.456405
MIAT, 7945, 16.381692
ANKRD34A, 579, 16.376880
CCND2, 2027, 16.367973
TMEM132D, 13561, 16.364537
MAP3K12, 7626, 16.346666
SLC22A9, 12080, 16.313838
LRFN4, 7362, 16.298313
CALHM2, 1755, 16.248207
CD163L1, 2078, 16.241431
LINC00672, 6964, 16.241059
MAFB, 7553, 16.218529
HTR2A, 5874, 16.212505
NUDCD3, 9045, 16.177900
ACTL6B, 171, 16.152861
MAN1C1, 7594, 16.124310
C16orf91, 1486, 16.123790
PHF24, 9736, 16.108952
EXTL1, 4157, 16.063382
NAGPA, 8491, 16.042550
RTN1, 11484, 16.023743
RAB40C, 10737, 16.021387
MEF2C, 7831, 15.986860
PP12613, 10153, 15.970058
NUAK1, 9034, 15.960095
CACNB3, 1728, 15.956538
PPL, 10194, 15.927251
PPP2R2D, 10255, 15.916027
KCNN1, 6399, 15.911885
SLITRK5, 12324, 15.894059
CENPBD1P1, 2273, 15.883583
MPPED1, 8119, 15.883466
STAMBPL1, 12838, 15.872924
LRRC8B, 7433, 15.868367
IER5, 5935, 15.863857
PKD1P6-NPIPP1, 9864, 15.844605
SAMD12, 11559, 15.834727
RGS4, 11070, 15.818393
NPM2, 8913, 15.803670
PI4KA, 9772, 15.786170
KLHL18, 6591, 15.779899
LOC440300, 7268, 15.779333
KIF5C, 6542, 15.768199
SATB2, 11592, 15.765882
FAM89B, 4393, 15.742102
TNFRSF25, 13786, 15.732575
GABARAPL1, 4816, 15.707605
PAPD7, 9379, 15.700459
RFTN1, 11035, 15.689133
FAM163B, 4266, 15.659969
DNM1, 3531, 15.638487
KHDRBS3, 6466, 15.632378
WAC-AS1, 14669, 15.624032
STX1A, 12928, 15.587621
EIF4A2, 3856, 15.578469
TMEM155, 13581, 15.576319
DIRAS2, 3407, 15.570792
TGFBR3L, 13360, 15.553321
SSBP3, 12772, 15.497843
SOHLH1, 12539, 15.485442
BASP1, 1176, 15.477894
CTNNAL1, 2994, 15.450556
SPATS2, 12619, 15.440988
CAMSAP3, 1784, 15.429082
TACC2, 13083, 15.425827
PNMA2, 10037, 15.424626
NLK, 8812, 15.422762
GDAP1L1, 4936, 15.418882
LOC100130705, 7120, 15.408652
SOBP, 12527, 15.405406
DNM1P35, 3533, 15.402672
PPP1R26, 10233, 15.376484
MCHR2, 7753, 15.368089
BTBD6, 1396, 15.367487
MAPK13, 7655, 15.360823
CBX6, 1888, 15.358407
KATNB1, 6325, 15.356182
RND1, 11171, 15.350094
PNMA1, 10036, 15.347645
SLC4A1AP, 12248, 15.328005
MKL1, 8009, 15.320910
CCKBR, 2009, 15.318649
HOPX, 5772, 15.314671
